molecule,cas,best_match_url,results,query_url,query_type,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
ALBUTREPENONACOG ALFA,1357448-54-4,https://drugs.ncats.io/drug/A57KX1VL5P,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1357448%2054%204"")",ONLY CAS,Possibly Marketed Outside US ,EU/1/16/1095/004,https://www.drugbank.ca/drugs/DB13884,Possibly Marketed Outside US 2016,BLA125582,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f74301bf-95e2-44ab-a8b6-98aa07b04683,,
ALCAFTADINE,147084-10-4,https://drugs.ncats.io/drug/7Z8O94ECSX,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""147084%2010%204"")",ONLY CAS,US Approved Rx 2024,ANDA209706,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209706,US Approved Rx 2010,NDA022134,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022134,Itching associated with allergic conjunctivitis,Approved
ALCLOMETASONE,67452-97-5,https://drugs.ncats.io/drug/136H45TB7B,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""67452%2097%205"")",ONLY CAS,US Approved Rx 2005,ANDA076973,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076973,US Previously Marketed 1982,ACLOVATE by FOUGERA PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018707,Corticosteroid-responsive dermatoses,Approved
ALDESLEUKIN,110942-02-4,https://drugs.ncats.io/drug/M89N0Q7EQR,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""110942%2002%204"")",ONLY CAS,US Approved Rx 1992,BLA103293,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103293,US Approved Rx 1992,BLA103293,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103293,,
ALDIOXA,5579-81-7,https://drugs.ncats.io/drug/8T66I31YNK,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""5579%2081%207"")",ONLY CAS,US Approved OTC ,21 CFR 346.20(a) anorectal:keratolytic alcloxa,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec346-20.xml,US Previously Marketed 1961,ALLANTOMIDE ALLANTOIN by NATIONAL DRUG,https://www.govinfo.gov/content/pkg/FR-1972-02-12/pdf/FR-1972-02-12.pdf,Chaffing; Functional dyspepsia; Gastritis; Duodenal ulcer; Gastric ulcer,Not Provided; Preclinical; Approved; Approved; Approved
ALECTINIB,1256580-46-7,https://drugs.ncats.io/drug/LIJ4CT1Z3Y,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1256580%2046%207"")",ONLY CAS,US Approved Rx 2015,NDA208434,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208434,US Approved Rx 2015,NDA208434,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208434,"Anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer",Approved
ALEFACEPT,222535-22-0,https://drugs.ncats.io/drug/ELK3V90G6C,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""222535%2022%200"")",ONLY CAS,US Previously Marketed 2003,Amevive,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125036,US Previously Marketed 2003,Amevive,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125036,,
ALEMTUZUMAB,216503-57-0,https://drugs.ncats.io/drug/3A189DH42V,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""216503%2057%200"")",ONLY CAS,US Approved Rx 2001,BLA103948,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103948,US Approved Rx 2001,BLA103948,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103948,,
ALENDRONIC ACID,66376-36-1,https://drugs.ncats.io/drug/X1J18R4W8P,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""66376%2036%201"")",ONLY CAS,US Approved Rx 2009,ANDA090258,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090258,US Approved Rx 1995,NDA020560,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020560,Glucocorticoid-induced osteoporosis; Osteoporosis; Paget's disease,Approved; Approved; Approved
ALFENTANIL,71195-58-9,https://drugs.ncats.io/drug/1N74HM2BS7,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""71195%2058%209"")",ONLY CAS,US Approved Rx 1986,NDA019353,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019353,US Approved Rx 1986,NDA019353,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019353,Pain,Approved
ALFUZOSIN,81403-80-7,https://drugs.ncats.io/drug/90347YTW5F,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""81403%2080%207"")",ONLY CAS,US Approved Rx 2012,ANDA079060,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079060,US Approved Rx 2003,NDA021287,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021287,Benign prostatic hyperplasia,Approved
ALGINIC ACID,9005-32-7,https://drugs.ncats.io/drug/8C3Z4148WZ,3,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9005%2032%207"")%20AND%20(root_names_name:""%5EALGINIC%20ACID$"")",EXACT NAME,US Previously Marketed ,21 CFR 310.545(a)(20) weight control alginic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,Possibly Marketed Outside US 2002,NDA013217,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5e1ec092-4748-47c6-9b72-1b826da0ce02,,
ALGLUCERASE,143003-46-7,https://drugs.ncats.io/drug/27T56C7KK0,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""143003%2046%207"")",ONLY CAS,US Previously Marketed 1991,Ceredase by Genzyme,OB NME Appendix 1950-1993,US Previously Marketed 1991,Ceredase by Genzyme,OB NME Appendix 1950-1993,,
ALGLUCOSIDASE ALFA,420784-05-0,https://drugs.ncats.io/drug/DTI67O9503,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""420784%2005%200"")",ONLY CAS,US Approved Rx 2010,BLA125291,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125291,US Approved Rx 2006,BLA125141,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125141,,
ALIROCUMAB,1245916-14-6,https://drugs.ncats.io/drug/PP0SHH6V16,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1245916%2014%206"")",ONLY CAS,US Approved Rx 2015,BLA125559,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125559,US Approved Rx 2015,BLA125559,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125559,,
ALISKIREN,173334-57-1,https://drugs.ncats.io/drug/502FWN4Q32,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""173334%2057%201"")",ONLY CAS,US Approved Rx 2019,ANDA206665,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206665,US Approved Rx 2007,NDA021985,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021985,Hypertension,Approved
ALITRETINOIN,5300-03-8,https://drugs.ncats.io/drug/1UA8E65KDZ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""5300%2003%208"")",ONLY CAS,US Approved Rx 2019,ANDA211644,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211644,US Previously Marketed 1971,RETIN-A by VALEANT INTL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016921,severe recalcitrant nodular acne; Acne vulgaris; Acute promyelocytic leukemia; AIDS-related Kaposi’s sarcoma,Approved; Approved; Approved; Approved
ALKYL SULFONATES,55-98-1,https://drugs.ncats.io/drug/G1LN9045DK,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""55%2098%201"")",ONLY CAS,US Approved Rx 1999,NDA020954,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020954,US Previously Marketed 1954,Myleran by Burroughs Wellcome,OB NME Appendix 1950-1985,Chronic myeloid leukemia,Approved
ALLANTOIN,97-59-6,https://drugs.ncats.io/drug/344S277G0Z,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""97%2059%206"")",ONLY CAS,US Approved OTC ,21 CFR 346.20(a) anorectal:keratolytic alcloxa,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec346-20.xml,US Previously Marketed 1961,ALLANTOMIDE ALLANTOIN by NATIONAL DRUG,https://www.govinfo.gov/content/pkg/FR-1972-02-12/pdf/FR-1972-02-12.pdf,Chaffing; Functional dyspepsia; Gastritis; Duodenal ulcer; Gastric ulcer,Not Provided; Preclinical; Approved; Approved; Approved
ALLOPURINOL,315-30-0,https://drugs.ncats.io/drug/63CZ7GJN5I,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""315%2030%200"")",ONLY CAS,US Approved Rx 2007,ANDA078253,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=078253,US Approved Rx 1966,NDA016084,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016084,Lymphoma; Gout; Leukemia,Approved; Approved; Approved
ALLYL ISOTHIOCYANATE,57-06-7,https://drugs.ncats.io/drug/BN34FX42G3,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""57%2006%207"")",ONLY CAS,US Previously Marketed ,21 CFR 310.545(a)(6)(ii)(A) cough/cold:nasal decongestant allyl isothiocyanate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,,,,,
ALMOTRIPTAN,154323-57-6,https://drugs.ncats.io/drug/1O4XL5SN61,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""154323%2057%206"")",ONLY CAS,US Approved Rx 2015,ANDA205171,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=205171,US Previously Marketed 2001,AXERT by JANSSEN PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021001,Migraine,Approved
ALOE BARBADENSIS,1415-73-2,https://drugs.ncats.io/drug/648RW354S9,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1415%2073%202"")",ONLY CAS,,,,,,,Non-small cell lung cancer; Myocardial ischemia-reperfusion injury; Ventricular arrhythmia,Preclinical; Preclinical; Preclinical
ALOGLIPTIN,850649-61-5,https://drugs.ncats.io/drug/JHC049LO86,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""850649%2061%205"")",ONLY CAS,US Approved Rx 2013,NDA203414,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203414,US Approved Rx 2013,NDA203414,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203414,Type 2 diabetes mellitus,Approved
ALOSETRON,122852-42-0,https://drugs.ncats.io/drug/13Z9HTH115,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""122852%2042%200"")",ONLY CAS,US Approved Rx 2019,ANDA209180,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209180,US Approved Rx 2000,NDA021107,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021107,Irritable bowel syndrome,Approved
ALPHA-GALACTOSIDASE,7493-95-0,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""7493%2095%200"")",ONLY CAS,,,,,,,,
ALPHA AMYLASE,9005-82-7,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""9005%2082%207"")",ONLY CAS,,,,,,,,
ALPHA CAROTENE,7488-99-5,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""7488%2099%205"")",ONLY CAS,,,,,,,,
ALPRAZOLAM,28981-97-7,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""28981%2097%207"")",ONLY CAS,,,,,,,,
ALPROSTADIL,745-65-3,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""745%2065%203"")",ONLY CAS,,,,,,,,
ALTEPLASE,105857-23-6,https://drugs.ncats.io/drug/1RXS4UE564,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""105857%2023%206"")",ONLY CAS,US Approved Rx 1987,BLA103172,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103172,US Approved Rx 1987,BLA103172,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103172,,
ALTRETAMINE,645-05-6,https://drugs.ncats.io/drug/Q8BIH59O7H,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""645%2005%206"")",ONLY CAS,US Previously Marketed 1990,HEXALEN by EISAI INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019926,US Previously Marketed 1990,HEXALEN by EISAI INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019926,"Ovarian cancer, persistent or recurrent",Approved
ALUMINIUM,7429-90-5,https://drugs.ncats.io/drug/CPD4NFA903,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""7429%2090%205"")",ONLY CAS,US Previously Marketed 1921,Solution of Aluminum Acetico-Tartrate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Solution of Aluminum Acetico-Tartrate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,
ALUMINIUM AND MAGNESIUM,110070-78-5,https://drugs.ncats.io/drug/A585MN1H2L,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""110070%2078%205"")",ONLY CAS,Possibly Marketed Outside US ,Canada:SODIUM BENTONITE,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 1946,M006,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=90f80e35-095d-88f9-8ea3-0fd54f1e916c,"Allergy due to ivy, oak and sumac",Approved
ALVIMOPAN,156053-89-3,https://drugs.ncats.io/drug/Q153V49P3Z,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""156053%2089%203"")",ONLY CAS,US Approved Rx 2023,ANDA216843,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216843,US Previously Marketed 2008,ENTEREG by CUBIST PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021775,Postoperative ileus,Approved
AMANTADINE,768-94-5,https://drugs.ncats.io/drug/BF4C9Z1J53,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""768%2094%205"")",ONLY CAS,US Approved Rx 2018,NDA209410,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209410,US Previously Marketed 1966,SYMMETREL by ENDO PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016020,Influenza A virus infection; Parkinson's disease,Approved; Approved
AMBENONIUM,7648-98-8,https://drugs.ncats.io/drug/L16PUN799N,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""7648%2098%208"")",ONLY CAS,US Previously Marketed 1956,MYTELASE by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010155,US Previously Marketed 1956,MYTELASE by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010155,Myasthenia gravis,Approved
AMBRISENTAN,177036-94-1,https://drugs.ncats.io/drug/HW6NV07QEC,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""177036%2094%201"")",ONLY CAS,US Approved Rx 2022,ANDA210701,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210701,US Approved Rx 2007,NDA022081,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022081,Pulmonary arterial hypertension,Approved
AMCINONIDE,51022-69-6,https://drugs.ncats.io/drug/423W026MA9,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""51022%2069%206"")",ONLY CAS,US Approved Rx 2003,ANDA076065,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076065,US Previously Marketed 1979,CYCLOCORT by ASTELLAS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018116,Corticosteroid-responsive dermatoses,Approved
AMFEPRAMONE,90-84-6,https://drugs.ncats.io/drug/Q94YYU22B8,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""90%2084%206"")",ONLY CAS,US Approved Rx 2011,ANDA091680,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091680,US Previously Marketed 1959,TEPANIL by 3M,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011673,Unknown; Exogenous obesity; Unknown,Approved
AMFETAMINE,300-62-9,https://drugs.ncats.io/drug/CK833KGX7E,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""300%2062%209"")",ONLY CAS,US Approved Rx 2003,ANDA040480,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040480,US Previously Marketed 1931,Benzedrine Inhaler,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2377281/,Attention deficit hyperactivity disorder,Approved
AMIFOSTINE,20537-88-6,https://drugs.ncats.io/drug/ILA426L95O,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""20537%2088%206"")",ONLY CAS,US Approved Rx 1995,NDA020221,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020221,US Approved Rx 1995,NDA020221,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020221,Ovarian cancer; Head and neck cancer,Approved; Approved
AMIKACIN,37517-28-5,https://drugs.ncats.io/drug/84319SGC3C,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""37517%2028%205"")",ONLY CAS,US Approved Rx 1993,ANDA064045,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=064045,US Previously Marketed 1976,AMIKIN by APOTHECON,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050495,Cystic fibrosis; Sepsis; Urinary tract infections; Meningitis; Pneumonia,Phase III; Approved; Approved; Approved; Phase III
AMILORIDE,2609-46-3,https://drugs.ncats.io/drug/7DZO8EB0Z3,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""2609%2046%203"")",ONLY CAS,US Approved Rx 2009,ANDA079133,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079133,US Previously Marketed 1981,MODURETIC 5-50 by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018201,Hypertension; Heart failure,Approved; Approved
AMINOACIDS,2097132-02-8,https://drugs.ncats.io/drug/71RR81V666,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""2097132%2002%208"")",ONLY CAS,Clinical ,INN:iodine (¹³¹I) apamistamab [INN],https://ginas.ncats.nih.gov/ginas/app/substance/71RR81V666,,,,,
AMINOACRIDINE,90-45-9,https://drugs.ncats.io/drug/78OY3Z0P7Z,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""90%2045%209"")",ONLY CAS,US Previously Marketed 1934,Aminacrine,https://books.google.com/books?id=jglFsz5EJR8C&lpg=PA381&ots=DG2kaw3Z_a&dq=AMINACRINE%20first%20marketed&pg=PA381#v=onepage&q=AMINACRINE%20first%20marketed&f=false,US Previously Marketed 1934,Aminacrine,https://books.google.com/books?id=jglFsz5EJR8C&lpg=PA381&ots=DG2kaw3Z_a&dq=AMINACRINE%20first%20marketed&pg=PA381#v=onepage&q=AMINACRINE%20first%20marketed&f=false,Adult T-cell leukemia/lymphoma; Vaginal trichomoniasis; Mycoses,Basic research; Phase I; Approved
AMINOCAPROIC ACID,60-32-2,https://drugs.ncats.io/drug/U6F3787206,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""60%2032%202"")",ONLY CAS,US Approved Rx 2021,ANDA213825,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213825,US Previously Marketed 1964,AMICAR by EPIC PHARMA LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=015229,Bleeding,Approved
AMINOGLUTETHIMIDE,125-84-8,https://drugs.ncats.io/drug/0O54ZQ14I9,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""125%2084%208"")",ONLY CAS,US Previously Marketed 1960,Elipten by Ciba,DeHaen 1940-1975 NMEs,US Previously Marketed 1960,Elipten by Ciba,DeHaen 1940-1975 NMEs,Cushing’s disease,Approved
AMINOLEVULINIC ACID,106-60-5,https://drugs.ncats.io/drug/88755TAZ87,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""106%2060%205"")",ONLY CAS,US Approved Rx 2017,NDA208630,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208630,Possibly Marketed Outside US 1995,ANDA077614,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0bfea06d-7abe-407a-80a4-d15d373569f7,Condylomata acuminata; Malignant glioma; Actinic keratosis,Approved; Approved; Approved
AMINOPHYLLINE,317-34-0,https://drugs.ncats.io/drug/27Y3KJK423,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""317%2034%200"")",ONLY CAS,US Approved Rx 1983,ANDA087943,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=087943,US Previously Marketed 1921,Theophylline U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Airway obstruction,Approved
